,Date,Locations affected,Number of positive employees,Number of positive students
17,2021-08-11,Fairmount Park Elementary School,1,0
18,2021-08-11,Frontier Elementary School,0,2
19,2021-08-11,Fuguitt Elementary School,0,2
20,2021-08-11,Gibbs High School,0,1
21,2021-08-11,Gulfport Elementary School,3,0
22,2021-08-11,High Point Elementary School,1,0
23,2021-08-11,Highland Lakes Elementary School,0,1
24,2021-08-11,Hollins High School,0,1
0,2021-08-11,James B. Sanderlin K-8,0,1
1,2021-08-11,Kings Highway Elementary School,1,0
2,2021-08-11,Lakeview Fundamental Elementary School,1,0
3,2021-08-11,Lakewood Elementary School,1,0
4,2021-08-11,Lakewood High School,0,1
5,2021-08-11,Largo High School,3,3
6,2021-08-11,Lealman Avenue Elementary School,1,0
7,2021-08-11,Madeira Beach Fundamental,0,1
8,2021-08-11,Maximo Elementary School,1,0
9,2021-08-11,Meadowlawn Middle School,1,0
10,2021-08-11,Melrose Elementary School,0,1
11,2021-08-11,Midtown Academy,0,1
12,2021-08-11,Mildred Helms Elementary School,1,0
13,2021-08-11,New Heights Elementary School,1,0
14,2021-08-11,North Shore Elementary School,0,2
15,2021-08-11,Northwest Elementary School,1,0
16,2021-08-11,Oakhurst Elementary School,0,1
17,2021-08-11,Orange Grove Elementary School,1,0
18,2021-08-11,Osceola Middle School,0,1
19,2021-08-11,Ozona Elementary School,0,1
20,2021-08-11,Palm Harbor Middle School,0,1
21,2021-08-11,Palm Harbor University High School,0,1
22,2021-08-11,Pasadena Fundamental Elementary School,0,3
23,2021-08-11,Perkins Elementary School,0,3
24,2021-08-11,Pinellas Park High School,1,2
0,2021-08-11,Pinellas Secondary School,0,1
1,2021-08-11,Richard O. Jacobson Technical High School,0,3
2,2021-08-11,Ridgecrest Elementary School,1,0
3,2021-08-11,Safety Harbor Elementary School,1,0
4,2021-08-11,San Jose Elementary School,0,1
5,2021-08-11,Sandy Lane Elementary School,1,0
6,2021-08-11,Sawgrass Lake Elementary School,1,0
7,2021-08-11,Seminole Middle School,0,1
8,2021-08-11,Seventy-Fourth Street Elementary School,0,4
9,2021-08-11,Shore Acres Elementary School,0,2
10,2021-08-11,St. Petersburg High School,1,2
11,2021-08-11,Starkey Elementary School,0,1
12,2021-08-11,Sunset Hills Elementary School,0,1
13,2021-08-11,Tarpon Springs Elementary School,1,0
14,2021-08-11,Tarpon Springs High School,1,2
15,2021-08-11,Thurgood Marshall Fundamental Middle School,1,1
16,2021-08-11,Tyrone Middle School,1,0
